,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
36,Kiunga,100,PG,1558564049,99,-6.12,141.3,73.31,0.72
37,Jamestown,0,AU,1558564050,57,-33.21,138.6,60.17,7.45
38,Wewak,76,PG,1558564051,87,-3.55,143.63,76.37,2.84
39,Barrow,0,AR,1558564053,46,-38.31,-60.23,52.25,6.44
40,Codrington,90,AU,1558563602,93,-28.95,153.24,59.0,6.93
41,Torbay,90,CA,1558564055,100,47.66,-52.73,36.0,24.16
42,Tymovskoye,39,RU,1558564056,75,50.85,142.66,51.17,10.27
43,Petukhovo,0,RU,1558564058,74,55.06,67.89,39.83,6.76
44,Tuktoyaktuk,40,CA,1558564059,47,69.44,-133.03,55.4,16.11
45,Hermanus,94,ZA,1558564060,96,-34.42,19.24,57.99,1.01
46,Kita,75,JP,1558564062,55,35.76,139.74,71.01,12.75
47,Loandjili,40,CG,1558564063,100,-4.77,11.87,77.0,5.82
48,Constitucion,75,MX,1558564064,2,23.99,-104.67,86.0,21.92
49,Los Llanos de Aridane,75,ES,1558564066,68,28.66,-17.92,68.0,10.29
50,Cape Town,0,ZA,1558563908,93,-33.93,18.42,60.01,2.24
51,Puerto Ayora,75,EC,1558564068,78,-0.74,-90.35,78.8,13.87
52,Kieta,99,PG,1558564069,73,-6.22,155.63,81.95,2.57
53,Novikovo,0,UA,1558564071,72,45.05,34.56,53.69,7.4
54,Gazojak,65,TM,1558564072,21,41.19,61.4,63.41,11.65
55,Sinnamary,100,GF,1558564073,87,5.38,-52.96,78.35,7.7
56,Ittiri,0,IT,1558564075,93,40.59,8.57,57.2,6.93
57,Saint-Philippe,1,CA,1558564076,34,45.36,-73.48,68.0,3.36
58,Yellowknife,20,CA,1558564077,27,62.45,-114.38,51.01,8.05
59,Seydi,30,NE,1558564078,25,13.34,7.75,95.45,3.0
60,Port Elizabeth,1,US,1558564080,43,39.31,-74.98,77.0,6.93
61,Nishihara,1,JP,1558564081,63,35.74,139.53,71.01,4.83
62,Sitka,74,US,1558564082,50,37.17,-99.65,71.01,4.0
63,Lafayette,75,US,1558564084,62,30.22,-92.02,87.8,8.05
64,Lorengau,4,PG,1558564085,90,-2.02,147.27,78.53,0.89
65,Husavik,100,CA,1558564086,65,50.56,-96.99,54.0,10.0
66,Pangnirtung,90,CA,1558564087,80,66.15,-65.72,35.6,8.05
67,Acapulco,75,MX,1558563903,70,16.86,-99.88,84.2,10.29
68,Tasiilaq,55,GL,1558564090,74,65.61,-37.64,37.4,12.75
69,Huarmey,82,PE,1558564091,91,-10.07,-78.15,65.57,19.82
70,Vaini,58,IN,1558564093,91,15.34,74.49,77.63,0.74
71,Anzio,0,IT,1558564094,87,41.45,12.63,60.01,4.7
72,Abdulino,100,RU,1558564095,94,53.68,53.66,50.45,3.0
73,Marsciano,6,IT,1558564096,93,42.91,12.34,57.99,4.7
74,Berlevag,75,NO,1558564098,69,70.86,29.09,35.6,13.87
75,Bandarbeyla,9,SO,1558564099,72,9.49,50.81,81.23,6.46
76,San Carlos de Bariloche,0,AR,1558564100,44,-41.13,-71.31,42.8,2.24
77,Ribeira Grande,0,PT,1558564101,85,38.52,-28.7,63.41,10.4
78,Ugoofaaru,98,MV,1558564103,79,5.67,73.0,84.65,12.93
79,Georgetown,75,GY,1558564076,83,6.8,-58.16,82.4,11.41
80,Pontian Kecil,75,MY,1558564105,94,1.48,103.39,84.2,4.5
81,Pevek,0,RU,1558564106,83,69.7,170.27,24.89,4.14
82,Port Alfred,0,ZA,1558564108,85,-33.59,26.89,55.0,3.0
83,Redmond,1,US,1558564109,46,47.67,-122.12,73.99,6.93
84,Gat,0,SN,1558564110,83,14.69,-16.54,69.8,18.34
85,Castro,90,CL,1558564112,81,-42.48,-73.76,44.6,4.7
86,Arraial do Cabo,0,BR,1558564113,88,-22.97,-42.02,75.2,4.81
87,Shar,39,NG,1558564114,44,7.3,8.73,87.17,4.41
88,Ponta do Sol,22,BR,1558564116,79,-20.63,-46.0,64.49,3.83
89,Revelstoke,90,CA,1558564117,28,50.99,-118.19,73.4,3.36
90,Eskisehir,75,TR,1558564118,76,39.78,30.52,55.4,2.24
91,Port-Gentil,40,GA,1558564120,94,-0.72,8.78,78.8,9.17
92,Kodiak,1,US,1558564121,49,39.95,-94.76,73.4,13.87
93,Guerrero Negro,1,MX,1558564122,70,27.97,-114.04,63.05,12.28
94,Jumla,0,NP,1558564123,56,29.28,82.18,44.51,5.26
95,Mahebourg,75,MU,1558564125,83,-20.41,57.7,75.2,6.93
96,Ossora,100,RU,1558564126,76,59.24,163.07,41.27,4.59
97,Sobolevo,64,RU,1558564127,83,54.43,31.9,57.83,1.92
98,Zhigansk,100,RU,1558564128,66,66.77,123.37,40.55,6.89
99,Poum,0,MK,1558564130,89,41.28,20.71,44.69,3.15
100,Butaritari,39,KI,1558564131,74,3.07,172.79,84.29,7.54
101,Sangar,100,RU,1558564132,58,63.92,127.47,49.91,4.12
102,Tiksi,0,RU,1558564133,93,71.64,128.87,25.79,7.92
103,Sisimiut,28,GL,1558564135,64,66.94,-53.67,42.17,17.11
104,Komsomolskiy,100,RU,1558564136,96,67.55,63.78,13.91,2.24
105,Labuhan,100,ID,1558564137,84,-2.54,115.51,75.29,2.17
106,Padang,75,ID,1558564138,94,-0.92,100.36,75.2,1.12
107,Saldanha,47,PT,1558564140,62,41.42,-6.55,63.59,6.31
108,Kaitangata,1,NZ,1558564141,68,-46.28,169.85,54.0,8.01
109,Pathein,100,MM,1558564142,81,16.78,94.73,83.03,8.32
110,Atuona,65,PF,1558564144,75,-9.8,-139.03,82.13,12.44
111,Fortuna,0,ES,1558564145,77,38.18,-1.13,66.2,6.33
112,Yashkul,100,RU,1558564146,47,46.17,45.34,64.13,13.87
113,Khatanga,100,RU,1558564147,93,71.98,102.47,26.51,21.41
114,Havelock,1,US,1558564030,39,34.88,-76.9,79.0,11.41
115,Havre-Saint-Pierre,75,CA,1558564150,70,50.23,-63.6,48.2,14.99
116,Hualmay,76,PE,1558564151,91,-11.1,-77.61,65.03,18.03
117,Longyearbyen,20,NO,1558564152,63,78.22,15.63,30.2,5.82
118,Hay River,75,CA,1558564154,56,60.82,-115.79,41.0,10.29
119,Uruzgan,17,AF,1558564155,57,32.93,66.63,51.53,2.51
120,Chokurdakh,100,RU,1558564156,85,70.62,147.9,25.43,21.0
121,Kavieng,0,PG,1558564157,77,-2.57,150.8,82.85,5.06
122,Masuguru,35,MZ,1558564159,67,-11.38,38.46,73.13,2.77
123,Alice Springs,2,AU,1558564160,87,-23.7,133.88,51.8,5.82
124,Patrocinio,72,PH,1558564161,77,13.72,123.64,82.85,3.83
125,Port Shepstone,0,ZA,1558564162,78,-30.74,30.45,57.11,5.19
126,Timmins,90,CA,1558564164,59,48.48,-81.33,59.0,12.75
127,Hamilton,75,BM,1558564165,56,32.3,-64.78,71.6,17.22
128,Holalkere,4,IN,1558564166,81,14.04,76.18,78.17,9.69
129,Chuy,45,UY,1558564167,66,-33.69,-53.46,63.59,10.87
130,Maningrida,74,AU,1558564169,84,-12.05,134.23,73.85,11.03
131,Anloga,20,GH,1558564170,83,5.79,0.9,82.4,5.82
132,Nyurba,1,RU,1558564171,75,63.29,118.35,45.05,2.1
133,La Romana,40,DO,1558564172,70,18.43,-68.97,84.2,12.75
134,Bikapur,0,IN,1558564174,25,26.66,82.14,92.93,7.92
135,Ilulissat,5,GL,1558564175,74,69.22,-51.1,37.4,8.05
136,Severo-Kurilsk,100,RU,1558564176,94,50.68,156.12,40.91,33.67
137,Verkhnevilyuysk,8,RU,1558564079,73,63.45,120.31,47.03,4.34
138,Norsup,75,VU,1558564179,65,-16.07,167.38,78.8,9.17
139,Riyadh,0,SA,1558563956,20,24.63,46.72,84.2,3.36
140,Port Hardy,90,CA,1558564181,82,50.7,-127.42,55.4,11.41
141,Half Moon Bay,75,US,1558564165,59,37.46,-122.43,71.01,21.92
142,Asyut,0,EG,1558564184,29,27.18,31.19,87.8,6.93
143,Wakkanai,1,JP,1558564185,86,45.41,141.67,52.97,14.36
144,Walvis Bay,100,NA,1558564186,82,-22.95,14.51,57.2,4.7
145,Eyl,20,SO,1558564187,73,7.98,49.82,81.05,8.16
146,Broome,0,GB,1558564189,76,52.47,1.45,57.99,9.17
147,Qaqortoq,93,GL,1558564190,26,60.72,-46.03,57.2,29.97
148,Mar del Plata,99,AR,1558564191,61,-46.43,-67.52,54.77,24.58
149,Salalah,20,OM,1558564192,83,17.01,54.1,84.2,2.24
150,Geraldton,90,CA,1558564194,93,49.72,-86.95,46.4,10.29
151,San Rafael,0,AR,1558564195,42,-34.61,-68.33,48.11,7.4
152,Scordia,0,IT,1558564196,82,37.3,14.84,62.6,5.82
153,Rantepao,100,ID,1558564198,95,-2.97,119.9,61.25,3.18
154,Sao Filipe,0,CV,1558564199,85,14.9,-24.5,73.13,22.82
155,Ulaanbaatar,0,MN,1558564200,45,47.92,106.92,48.2,2.24
156,Muros,0,ES,1558564202,76,42.77,-9.06,57.99,2.24
157,Port Lincoln,23,AU,1558564203,76,-34.72,135.86,62.34,6.06
158,Kununurra,0,AU,1558564204,44,-15.77,128.74,75.2,4.7
159,Port Hedland,40,AU,1558564205,40,-20.31,118.58,71.6,9.17
160,Itarema,91,BR,1558564207,90,-2.92,-39.92,76.92,5.1
161,Hohhot,0,CN,1558564208,34,40.81,111.65,53.6,4.47
162,Kruisfontein,10,ZA,1558564210,83,-34.0,24.73,49.56,4.68
163,Bethel,40,US,1558564211,55,60.79,-161.76,60.8,17.22
164,Shenyang,0,CN,1558564212,45,41.8,123.43,62.6,2.24
165,Kachug,36,RU,1558564214,79,53.96,105.89,43.8,3.0
166,Sorata,3,BO,1558564215,92,-15.77,-68.65,41.28,16.28
167,Eureka,90,US,1558563949,72,40.8,-124.16,60.8,18.34
168,Bireun,67,ID,1558564217,87,5.2,96.7,70.08,2.01
169,Tuatapere,4,NZ,1558564219,81,-46.13,167.69,54.0,15.75
170,Cidreira,11,BR,1558564042,82,-30.17,-50.22,67.37,11.5
171,San Jeronimo,25,PE,1558564221,77,-13.65,-73.37,41.28,1.3
172,Talnakh,75,RU,1558564222,92,69.49,88.39,19.4,11.18
173,Fairbanks,75,US,1558564113,42,64.84,-147.72,66.0,5.82
174,Dikson,76,RU,1558564225,86,73.51,80.55,22.74,9.17
175,Touros,20,BR,1558564226,83,-5.2,-35.46,80.6,5.82
176,Jutai,100,BR,1558564227,98,-1.71,-47.89,74.4,1.68
177,Nicoya,75,CR,1558564229,88,10.15,-85.45,78.8,5.82
178,Idritsa,6,RU,1558564230,93,56.33,28.9,56.04,3.36
179,Cap Malheureux,75,MU,1558564231,83,-19.98,57.61,75.2,6.93
180,Provideniya,90,RU,1558564233,84,64.42,-173.23,35.6,6.71
181,Ketchikan,1,US,1558564234,63,55.34,-131.65,66.2,18.34
182,High Prairie,100,CA,1558564235,67,55.43,-116.48,59.46,3.98
183,Clyde River,1,CA,1558564236,92,70.47,-68.59,28.4,10.29
184,Ixtapa,75,MX,1558564238,65,20.71,-105.21,81.0,16.11
185,Lompoc,75,US,1558564239,59,34.64,-120.46,71.01,16.11
186,Margate,75,AU,1558564240,62,-43.03,147.26,55.0,9.17
187,Bilibino,49,RU,1558564242,85,68.06,166.44,28.5,4.12
188,Faanui,76,PF,1558564243,71,-16.48,-151.75,82.86,7.99
189,Xinqing,0,CN,1558564244,66,48.28,129.53,53.34,5.23
190,Camacha,40,PT,1558564245,77,33.08,-16.33,66.2,10.29
191,Evensk,99,RU,1558564247,93,61.92,159.24,41.64,4.14
192,Aksu,90,KZ,1558564248,93,52.04,76.93,42.8,13.42
193,Takoradi,100,GH,1558564249,92,4.89,-1.75,77.28,4.32
194,Nouadhibou,0,MR,1558564251,77,20.93,-17.03,66.2,18.34
195,Cabo San Lucas,5,MX,1558564034,47,22.89,-109.91,87.01,9.17
196,Yulara,0,AU,1558564253,71,-25.24,130.99,51.8,8.05
197,Lata,67,IN,1558564254,69,30.78,78.62,29.58,9.57
198,Palpa,0,PE,1558564256,72,-14.53,-75.19,67.92,7.72
199,Pacific Grove,20,US,1558564257,59,36.62,-121.92,73.0,12.75
200,Qaanaaq,99,GL,1558564258,74,77.48,-69.36,28.5,2.86
201,Airai,49,TL,1558564259,53,-8.93,125.41,81.06,6.67
202,Maragogi,28,BR,1558564138,86,-9.01,-35.22,76.37,4.38
203,Pisco,20,PE,1558564262,30,-13.71,-76.2,71.6,5.82
204,Faya,40,SA,1558564263,82,18.39,42.45,62.6,5.82
205,Nikolskoye,90,RU,1558564264,77,59.7,30.79,60.8,8.95
206,Nanortalik,89,GL,1558564266,74,60.14,-45.24,40.38,5.61
207,Kulhudhuffushi,81,MV,1558564267,75,6.62,73.07,86.1,11.72
208,Sorong,71,ID,1558564268,72,-0.86,131.25,85.92,1.28
209,Tuka,90,HU,1558564269,87,47.74,21.04,59.0,10.29
210,Hovd,0,NO,1558564271,63,63.83,10.7,66.2,8.05
211,Krasnoslobodsk,29,RU,1558564272,95,54.42,43.79,53.34,7.18
212,Saskylakh,88,RU,1558564273,84,71.97,114.09,32.1,8.79
213,Teguise,40,ES,1558564274,72,29.06,-13.56,68.0,16.11
214,Svobodnyy,63,RU,1558564275,60,53.85,40.53,60.01,6.44
215,Ojinaga,1,US,1558564277,5,29.56,-104.41,98.6,4.7
216,Pijijiapan,80,MX,1558564278,69,15.69,-93.21,86.64,7.52
217,Goryachiy Klyuch,0,RU,1558564279,82,44.63,39.14,62.6,11.18
218,Rudnogorsk,66,RU,1558564280,60,57.27,103.75,46.14,2.53
219,Ostrovnoy,69,RU,1558564282,79,68.05,39.51,32.82,14.63
220,Port Blair,100,IN,1558564283,71,11.67,92.75,85.56,7.87
221,Dunedin,36,NZ,1558564039,65,-45.87,170.5,55.99,8.99
222,Marystown,81,CA,1558564285,79,47.17,-55.16,41.64,17.36
223,At-Bashi,96,KG,1558564287,78,41.17,75.81,42.72,3.4
224,Pato Branco,100,BR,1558564001,98,-26.23,-52.67,63.59,3.69
225,Taltal,0,CL,1558564289,44,-25.41,-70.49,60.9,5.5
226,Linjiang,48,CN,1558564290,40,41.81,126.91,63.6,8.86
227,Turukhansk,100,RU,1558564292,88,65.8,87.96,28.68,13.8
228,Lufilufi,20,WS,1558564293,79,-13.87,-171.6,86.0,3.36
229,Vao,86,EE,1558564294,78,59.1,26.19,55.86,3.15
230,Cockburn Town,3,TC,1558564296,78,21.46,-71.14,81.6,11.27
231,Libreville,20,GA,1558564240,83,0.39,9.45,80.6,4.7
232,El Alto,75,BO,1558564298,29,-16.5,-68.19,51.8,10.29
233,Harper,75,US,1558564300,58,30.3,-99.24,87.01,12.75
234,Ust-Nera,91,RU,1558564301,65,64.57,143.24,43.8,7.9
235,Portland,40,US,1558564247,49,45.52,-122.67,73.99,4.7
236,Thinadhoo,100,MV,1558564303,76,0.53,72.93,84.66,16.15
237,Serafimovskiy,97,RU,1558564305,96,54.42,53.8,48.48,4.92
238,Arica,0,CL,1558564306,72,-18.48,-70.32,64.4,6.93
239,Almaty,90,KZ,1558564307,81,43.24,76.95,51.8,4.47
240,Quirinopolis,52,BR,1558564309,65,-18.45,-50.45,70.44,1.66
241,Mackenzie,75,CA,1558564310,39,55.34,-123.09,64.4,8.05
242,Ucluelet,5,CA,1558564311,56,48.94,-125.55,79.0,9.17
243,Cabedelo,40,BR,1558564312,88,-6.97,-34.84,78.8,4.7
244,Ust-Kulom,100,RU,1558564314,82,61.69,53.69,41.64,5.03
245,Mitsamiouli,20,KM,1558564315,78,-11.38,43.28,78.8,4.7
246,Preeceville,11,CA,1558564316,30,51.95,-102.67,65.4,14.54
247,Ejido,100,VE,1558564318,74,8.55,-71.24,72.42,3.83
248,Inza,35,RU,1558564319,94,53.86,46.36,52.08,6.71
249,Tacuarembo,100,UY,1558564320,96,-31.73,-55.98,57.66,10.45
250,Tura,100,IN,1558564321,91,25.52,90.21,75.66,7.02
251,Krasnyy Yar,88,RU,1558564323,66,50.7,44.73,52.44,7.0
252,Hofn,61,IS,1558564324,87,64.25,-15.21,35.7,9.22
253,Agnibilekrou,100,CI,1558564325,97,7.13,-3.2,74.04,3.47
254,Thessalon,1,CA,1558564326,41,46.26,-83.55,60.8,20.8
255,Salinas,1,US,1558564123,52,36.67,-121.66,72.0,14.99
256,Hailey,90,US,1558564329,37,43.52,-114.32,53.6,11.41
257,Mlimba,49,TZ,1558564330,88,-8.78,35.81,63.96,3.67
258,Fort Saint James,66,CA,1558564331,43,54.43,-124.25,65.22,5.26
259,Sao Joao da Barra,0,BR,1558564333,94,-21.64,-41.05,75.2,3.36
260,Mweka,100,CD,1558564334,95,-4.85,21.56,72.24,2.91
261,Klaksvik,100,FO,1558564335,87,62.23,-6.59,42.8,19.46
262,Mubi,73,NG,1558564336,42,10.27,13.26,86.28,4.18
263,Petropavlovka,82,RU,1558564338,66,50.61,105.32,53.88,6.6
264,Hamirpur,30,IN,1558564339,22,25.95,80.15,96.18,3.91
265,Khorixas,1,NA,1558564340,45,-20.37,14.96,68.64,2.44
266,Puerto Carreno,92,CO,1558564341,74,6.19,-67.49,81.6,1.81
267,Egvekinot,98,RU,1558564343,100,66.32,-179.17,31.56,2.3
268,Nemuro,34,JP,1558564344,74,43.32,145.57,52.08,8.48
269,Juegang,0,CN,1558564345,58,32.31,121.18,75.99,9.62
270,Kandi,43,BJ,1558564346,45,11.13,2.93,87.54,4.07
271,Blackwater,9,GB,1558564348,62,51.33,-0.78,59.0,1.12
272,Jinxiang,0,CN,1558564349,27,35.07,116.31,83.76,13.65
273,Henties Bay,0,NA,1558564350,92,-22.12,14.28,57.0,5.99
274,Erenhot,0,CN,1558564352,10,43.65,111.97,75.12,22.37
275,Opuwo,21,NA,1558564353,42,-18.06,13.84,62.34,1.36
276,Viedma,1,AR,1558564354,33,-40.81,-62.99,53.7,13.44
277,Vestmannaeyjar,34,IS,1558564355,86,63.44,-20.27,48.66,9.86
278,Akdepe,0,TM,1558564357,43,42.05,59.39,55.4,6.93
279,Kuminskiy,20,RU,1558564358,68,58.67,66.57,38.04,5.03
280,Grootfontein,2,NA,1558564359,44,-19.56,18.1,53.7,3.67
281,Lerwick,91,GB,1558564360,93,60.15,-1.15,48.2,4.7
282,Lagoa,0,PT,1558564362,52,37.14,-8.45,69.8,11.41
283,Narrabri,0,AU,1558564363,62,-30.33,149.78,57.2,2.8
284,Ballina,96,IE,1558564364,89,54.11,-9.15,54.0,6.53
285,Tukan,100,RU,1558564366,97,53.84,57.45,43.26,4.23
286,Yar-Sale,50,RU,1558564367,86,66.83,70.83,19.5,2.68
287,Chapais,40,CA,1558564368,39,49.78,-74.86,60.8,6.93
288,Waingapu,83,ID,1558564369,73,-9.65,120.26,79.26,15.46
289,Shihezi,100,CN,1558564371,45,44.3,86.03,61.98,9.86
290,Tanout,62,NE,1558564372,25,14.97,8.88,92.94,5.37
291,Woodward,1,US,1558564373,38,36.43,-99.39,80.6,9.17
292,Emerald,0,AU,1558564375,67,-23.53,148.16,64.0,9.17
293,Aykhal,0,RU,1558564376,69,65.95,111.51,39.2,6.71
294,Baraki Barak,100,AF,1558564377,78,33.97,68.95,46.5,2.42
295,Altay,99,CN,1558564378,81,47.83,88.13,34.98,3.53
296,Elyria,90,US,1558564380,64,41.37,-82.11,80.6,8.05
297,Virginia Beach,75,US,1558564243,55,36.85,-75.98,73.4,9.17
298,Edmonton,75,CA,1558564082,40,53.54,-113.51,72.0,8.05
299,Kariapatti,23,IN,1558564102,59,9.68,78.1,88.97,11.39
300,Douentza,91,ML,1558564384,29,15.01,-2.95,95.28,8.28
301,Beringovskiy,0,RU,1558564386,71,63.05,179.32,38.58,4.56
302,Arkhangelskoye,78,RU,1558564387,91,54.46,37.62,53.88,3.69
303,Batagay,23,RU,1558564388,38,67.65,134.64,51.0,7.78
304,Kiruna,84,SE,1558564390,64,67.86,20.23,35.6,3.36
305,Novobirilyussy,34,RU,1558564391,80,56.95,90.69,42.54,5.7
306,Kavaratti,19,IN,1558564392,77,10.57,72.64,85.02,8.88
307,Carauari,100,BR,1558564393,96,-4.88,-66.9,74.58,1.07
308,Nuristan,20,UZ,1558564395,39,38.49,65.64,64.4,9.17
309,Alegrete,58,BR,1558564396,96,-29.79,-55.79,61.44,9.26
310,Nadym,68,RU,1558564397,79,65.53,72.51,29.04,2.86
311,Souillac,0,FR,1558564398,67,45.6,-0.6,61.0,3.36
312,Lasa,20,CY,1558564400,59,34.92,32.53,71.6,3.36
313,Bereda,20,ES,1558564401,87,43.27,-7.54,57.2,3.36
314,Tyukhtet,21,RU,1558564402,74,56.54,89.31,42.72,6.69
315,Kannur,40,IN,1558564403,100,11.88,75.37,82.4,1.12
316,Manicore,95,BR,1558564266,95,-5.81,-61.3,75.3,2.59
317,Aqtobe,40,KZ,1558564406,78,50.28,57.21,60.8,11.18
318,Grindavik,0,IS,1558564407,87,63.84,-22.43,50.0,8.05
319,Saint Anthony,75,US,1558564408,34,43.97,-111.68,53.6,14.99
320,Rincon,1,US,1558564410,38,32.3,-81.24,91.4,9.17
321,Corrales,100,CO,1558564411,98,5.83,-72.84,48.84,3.0
322,Makakilo City,75,US,1558564412,54,21.35,-158.09,86.0,6.93
323,Taoudenni,0,ML,1558564413,11,22.68,-3.98,90.06,3.6
324,Saraza,96,PH,1558564415,70,8.74,117.78,84.66,2.17
325,Santa Isabel do Rio Negro,96,BR,1558564416,97,-0.41,-65.02,75.12,1.41
326,Ponta Delgada,20,PT,1558564137,72,37.73,-25.67,62.6,5.82
327,Marsh Harbour,8,BS,1558564418,76,26.54,-77.06,78.0,18.1
328,Wajid,97,SO,1558564420,74,3.81,43.25,79.08,12.66
329,Hambantota,20,LK,1558564421,100,6.12,81.12,77.0,2.24
330,Perehonivka,0,UA,1558564422,93,49.98,30.49,62.01,5.79
331,Tecoanapa,75,MX,1558564424,70,16.99,-99.26,84.2,10.29
332,Namatanai,9,PG,1558564425,84,-3.66,152.44,80.52,4.83
333,Rawson,45,AR,1558564426,31,-43.3,-65.11,55.68,12.44
334,Mount Gambier,90,AU,1558564427,93,-37.83,140.78,41.0,5.82
335,Aquiraz,0,BR,1558564429,83,-3.9,-38.39,81.0,6.93
336,Esperance,75,TT,1558564430,78,10.24,-61.45,82.99,13.87
337,Polunochnoye,49,RU,1558564431,60,60.87,60.43,37.68,4.68
338,Norman Wells,75,CA,1558564199,48,65.28,-126.83,60.8,8.05
339,Alta Floresta,75,BR,1558564433,78,-9.87,-56.08,82.4,4.7
340,Xuanhua,0,CN,1558564435,20,40.61,115.04,74.76,4.63
341,Flinders,40,AU,1558564436,87,-34.58,150.85,61.0,8.05
342,Nuuk,20,GL,1558564438,61,64.17,-51.74,48.2,6.93
343,Maniitsoq,0,GL,1558564439,52,65.42,-52.9,48.3,6.87
344,Namibe,0,AO,1558564440,79,-15.19,12.15,69.36,11.01
345,Bundaberg,40,AU,1558564441,82,-24.87,152.35,72.0,9.17
346,Toccoa,1,US,1558564443,51,34.58,-83.33,86.0,5.82
347,Nara,0,JP,1558564444,52,34.68,135.8,66.2,2.24
348,Rio Grande,75,BR,1558564445,82,-32.03,-52.1,64.4,6.93
349,Sekoma,0,BW,1558564447,43,-24.51,23.93,61.08,10.4
350,Tamandare,80,BR,1558564448,98,-8.28,-70.75,74.04,0.58
351,Grand Gaube,75,MU,1558564449,83,-20.01,57.66,75.2,6.93
352,Peniche,20,PT,1558564451,87,39.36,-9.38,60.8,13.87
353,Bambanglipuro,37,ID,1558564452,82,-7.95,110.28,80.88,11.45
354,Erzin,0,TR,1558564453,49,36.95,36.2,73.4,10.29
355,Aswan,0,EG,1558564412,13,24.09,32.9,95.0,11.41
356,Ambulu,64,ID,1558564456,83,-8.35,113.61,78.72,4.68
357,Deputatskiy,98,RU,1558564457,100,69.3,139.9,31.92,6.38
358,Ereymentau,9,KZ,1558564458,74,51.62,73.1,38.58,7.2
359,Kenai,1,US,1558564220,41,60.55,-151.26,61.0,18.34
360,Quatre Cocos,75,MU,1558564460,83,-20.21,57.76,75.2,6.93
361,Boquira,78,BR,1558564462,68,-12.82,-42.73,74.94,5.37
362,Teshie,20,GH,1558564466,83,5.58,-0.11,82.4,3.36
363,Impfondo,100,CD,1558564467,94,1.62,18.06,73.5,3.29
364,Springbok,0,ZA,1558564469,51,-29.67,17.88,56.04,5.5
365,Ozernovskiy,100,RU,1558564470,81,51.5,156.52,45.6,25.55
366,Mbandaka,100,CD,1558564471,83,0.05,18.26,74.58,1.81
367,Tarbagatay,40,RU,1558564472,71,51.48,107.36,51.8,4.47
368,Kyzyl-Suu,99,KG,1558564474,69,42.34,78.0,53.7,16.37
369,La Ronge,20,CA,1558564475,35,55.1,-105.3,69.8,10.29
370,Batemans Bay,19,AU,1558564476,96,-35.71,150.18,52.0,1.7
371,Gamba,29,CN,1558564477,64,28.28,88.52,32.46,4.05
372,Parintins,76,BR,1558564479,92,-2.63,-56.73,76.38,1.79
